municipio,abertura,fechamento,atividade,porte,natureza juridica
Angical do Piauí,2016-09-09,2012-10-05,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,Eireli
Anísio de Abreu,2000-12-26,2021-11-23,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,Sociedade Anônima
Antônio Almeida,2007-09-26,2005-02-10,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,Sociedade Simples Limitada
Aroazes,2011-03-26,,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",me,Sociedade Anônima
Aroeiras do Itaim,2000-12-30,2012-11-13,OUTRAS ATIVIDADES DE SERVIÇOS,mei,EI – Empresário Individual
Arraial,2015-07-20,2019-05-26,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,Sociedade Simples Limitada
Assunção do Piauí,2013-04-13,2002-10-13,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,MEI – Microempreendedor Individual
Avelino Lopes,2003-08-26,2022-02-03,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,Sociedade Simples Limitada
Baixa Grande do Ribeiro,2007-02-27,2002-03-30,CONSTRUÇÃO,media/grande,EI – Empresário Individual
Barra d'Alcântara,2001-04-22,2018-12-10,INDÚSTRIAS EXTRATIVAS,mei,Sociedade Anônima
Barras,2010-10-17,2020-06-30,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Anônima
Barro Duro,2023-11-18,2016-06-12,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Sociedade Simples Limitada
Batalha,2018-11-07,2000-09-28,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",me,Eireli
Bela Vista do Piauí,2010-08-20,2014-10-20,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,Eireli
Belém do Piauí,2013-08-19,2010-08-30,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,MEI – Microempreendedor Individual
Beneditinos,2006-09-11,2015-09-03,CONSTRUÇÃO,me,MEI – Microempreendedor Individual
Bertolínia,2010-01-18,2005-07-17,SERVIÇOS DOMÉSTICOS,pequena,EI – Empresário Individual
Betânia do Piauí,2021-10-01,2020-03-11,INFORMAÇÃO E COMUNICAÇÃO,me,Sociedade Simples Limitada
Boa Hora,2002-09-03,,EDUCAÇÃO,mei,Sociedade Simples Limitada
Bocaina,2019-09-30,2018-03-13,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,Eireli
Bom Jesus,2008-02-11,,ATIVIDADES IMOBILIÁRIAS,pequena,Eireli
Bom Princípio do Piauí,2004-08-28,,INDÚSTRIAS EXTRATIVAS,mei,MEI – Microempreendedor Individual
Bonfim do Piauí,2020-10-14,2006-07-15,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,MEI – Microempreendedor Individual
Boqueirão do Piauí,2021-09-03,2015-12-16,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Eireli
Brasileira,2018-12-25,2003-09-02,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,EI – Empresário Individual
Brejo do Piauí,2008-09-30,2002-01-04,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,EI – Empresário Individual
Buriti dos Lopes,2014-10-21,2021-08-16,OUTRAS ATIVIDADES DE SERVIÇOS,mei,Sociedade Anônima
Buriti dos Montes,2008-01-26,2016-04-17,COMÉRCIO,media/grande,Eireli
Cabeceiras do Piauí,2017-10-23,2006-12-26,INFORMAÇÃO E COMUNICAÇÃO,media/grande,Sociedade Anônima
Cajazeiras do Piauí,2004-03-18,2008-03-02,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,MEI – Microempreendedor Individual
Cajueiro da Praia,2013-01-13,2004-01-03,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Sociedade Simples Limitada
Caldeirão Grande do Piauí,2017-11-22,2005-01-02,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Eireli
Campinas do Piauí,2005-08-20,2022-05-23,SERVIÇOS DOMÉSTICOS,media/grande,Sociedade Simples Limitada
Campo Alegre do Fidalgo,2021-03-04,2018-07-06,INFORMAÇÃO E COMUNICAÇÃO,media/grande,EI – Empresário Individual
Campo Grande do Piauí,2013-04-21,2016-02-14,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Sociedade Anônima
Campo Largo do Piauí,2015-12-22,2007-09-20,ALOJAMENTO E ALIMENTAÇÃO,media/grande,MEI – Microempreendedor Individual
Campo Maior,2002-02-04,2024-04-21,ALOJAMENTO E ALIMENTAÇÃO,mei,MEI – Microempreendedor Individual
Canavieira,2001-11-06,2002-09-07,COMÉRCIO,me,Sociedade Simples Limitada
Canto do Buriti,2023-02-20,2018-10-20,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,Sociedade Anônima
Capitão de Campos,2024-06-17,2016-04-08,INDÚSTRIAS EXTRATIVAS,pequena,Eireli
Capitão Gervásio Oliveira,2003-06-05,,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",me,Eireli
Caracol,2022-07-23,2006-01-24,CONSTRUÇÃO,mei,EI – Empresário Individual
Caraúbas do Piauí,2007-08-14,2019-01-19,EDUCAÇÃO,media/grande,MEI – Microempreendedor Individual
Caridade do Piauí,2020-01-20,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Sociedade Anônima
Castelo do Piauí,2002-10-25,,EDUCAÇÃO,pequena,Sociedade Anônima
Caxingó,2009-06-26,2023-03-11,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Eireli
Cocal,2023-04-22,2020-01-05,ALOJAMENTO E ALIMENTAÇÃO,mei,Sociedade Simples Limitada
Cocal de Telha,2007-07-31,2017-05-08,ALOJAMENTO E ALIMENTAÇÃO,pequena,Eireli
Cocal dos Alves,2019-04-11,2001-01-05,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,EI – Empresário Individual
Coivaras,2009-12-18,,CONSTRUÇÃO,me,Sociedade Simples Limitada
Colônia do Gurguéia,2006-06-29,2013-08-12,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Anônima
Colônia do Piauí,2017-11-30,2009-07-15,INFORMAÇÃO E COMUNICAÇÃO,media/grande,Sociedade Simples Limitada
Conceição do Canindé,2023-01-22,2008-02-06,COMÉRCIO,mei,EI – Empresário Individual
Coronel José Dias,2019-09-07,2015-12-21,SERVIÇOS DOMÉSTICOS,mei,Sociedade Simples Limitada
Corrente,2014-11-20,2012-01-23,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Sociedade Simples Limitada
Cristalândia do Piauí,2011-12-30,2023-03-11,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Sociedade Anônima
Cristino Castro,2001-01-14,2022-08-09,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Sociedade Simples Limitada
Curimatá,2009-02-23,2010-12-06,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,EI – Empresário Individual
Currais,2012-10-23,,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,MEI – Microempreendedor Individual
Curral Novo do Piauí,2008-04-03,2014-04-21,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Sociedade Simples Limitada
Curralinhos,2001-04-11,2022-11-14,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Sociedade Anônima
Demerval Lobão,2007-09-18,2022-08-01,INDÚSTRIAS DE TRANSFORMAÇÃO,me,MEI – Microempreendedor Individual
Dirceu Arcoverde,2021-09-04,2022-07-12,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,Sociedade Simples Limitada
Dom Expedito Lopes,2013-09-16,2005-06-29,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Sociedade Anônima
Dom Inocêncio,2022-05-12,2014-03-31,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,Sociedade Simples Limitada
Domingos Mourão,2008-09-03,2010-03-21,ATIVIDADES IMOBILIÁRIAS,media/grande,MEI – Microempreendedor Individual
Elesbão Veloso,2014-07-16,,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,Sociedade Anônima
Eliseu Martins,2019-11-25,2015-08-05,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,MEI – Microempreendedor Individual
Esperantina,2009-10-06,2002-01-15,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,Eireli
Fartura do Piauí,2002-10-20,2016-03-03,INFORMAÇÃO E COMUNICAÇÃO,me,MEI – Microempreendedor Individual
Flores do Piauí,2018-02-13,2023-04-26,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,EI – Empresário Individual
Floresta do Piauí,2013-12-18,2008-05-07,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Eireli
Floriano,2003-01-25,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,EI – Empresário Individual
Francinópolis,2006-05-17,2023-03-15,ATIVIDADES IMOBILIÁRIAS,media/grande,Sociedade Anônima
Francisco Ayres,2014-01-31,2011-06-06,EDUCAÇÃO,mei,Sociedade Simples Limitada
Francisco Macedo,2003-11-21,,ELETRICIDADE E GÁS,pequena,Sociedade Simples Limitada
Francisco Santos,2007-08-03,2019-03-15,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,Sociedade Simples Limitada
Fronteiras,2015-01-28,,INDÚSTRIAS EXTRATIVAS,me,Sociedade Simples Limitada
Geminiano,2011-06-05,2021-02-14,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,EI – Empresário Individual
Gilbués,2007-08-10,2018-12-21,INFORMAÇÃO E COMUNICAÇÃO,pequena,Eireli
Guadalupe,2002-05-18,2014-10-20,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,Eireli
Guaribas,2005-08-10,2002-07-25,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,EI – Empresário Individual
Hugo Napoleão,2009-07-17,2011-12-24,CONSTRUÇÃO,pequena,Sociedade Simples Limitada
Ilha Grande,2007-05-12,2007-01-30,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Eireli
Inhuma,2006-08-09,2019-06-16,SERVIÇOS DOMÉSTICOS,mei,MEI – Microempreendedor Individual
Ipirá,2001-06-09,2002-04-09,INFORMAÇÃO E COMUNICAÇÃO,pequena,Sociedade Simples Limitada
Isaías Coelho,2009-10-27,2017-10-08,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Sociedade Simples Limitada
Itainópolis,2012-09-10,2018-10-18,EDUCAÇÃO,me,EI – Empresário Individual
Itaueira,2015-12-04,,INDÚSTRIAS EXTRATIVAS,mei,EI – Empresário Individual
Jacobina do Piauí,2000-10-04,2023-09-07,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Anônima
Jaicós,2017-10-14,2023-07-31,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Eireli
Jardim do Mulato,2008-05-18,2024-06-23,SERVIÇOS DOMÉSTICOS,me,Eireli
Jatobá do Piauí,2021-07-17,2010-05-08,COMÉRCIO,media/grande,Sociedade Anônima
Jerumenha,2012-07-21,2015-06-24,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Sociedade Anônima
João Costa,2016-07-27,2017-09-28,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,MEI – Microempreendedor Individual
Joaquim Pires,2015-09-24,2012-07-24,SERVIÇOS DOMÉSTICOS,mei,Sociedade Anônima
Joca Marques,2006-08-29,2003-01-03,EDUCAÇÃO,media/grande,Sociedade Simples Limitada
José de Freitas,2020-02-10,2017-07-22,INFORMAÇÃO E COMUNICAÇÃO,me,EI – Empresário Individual
Juazeiro do Piauí,2001-11-30,2016-04-07,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Sociedade Simples Limitada
Júlio Borges,2011-05-27,2019-03-13,INFORMAÇÃO E COMUNICAÇÃO,me,Sociedade Simples Limitada
Jurema,2014-03-06,2020-02-25,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,EI – Empresário Individual
Lagoa Alegre,2012-03-07,2008-06-21,ALOJAMENTO E ALIMENTAÇÃO,mei,MEI – Microempreendedor Individual
Lagoa de São Francisco,2022-08-29,2017-05-07,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Sociedade Simples Limitada
Lagoa do Barro do Piauí,2019-08-19,,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,EI – Empresário Individual
Lagoa do Piauí,2021-07-20,2013-01-10,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Sociedade Anônima
Lagoa do Sítio,2016-10-04,2017-02-20,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,MEI – Microempreendedor Individual
Lagoinha do Piauí,2016-12-19,2018-07-16,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,Sociedade Anônima
Landri Sales,2002-11-15,2005-05-10,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Sociedade Simples Limitada
Luís Correia,2018-04-07,2017-07-01,CONSTRUÇÃO,media/grande,Eireli
Luzilândia,2013-09-16,2017-06-12,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Sociedade Anônima
Madeiro,2020-04-07,2006-12-17,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,Sociedade Simples Limitada
Manoel Emídio,2002-02-10,2011-09-15,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,Sociedade Simples Limitada
Marcolândia,2016-04-15,2010-12-15,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,MEI – Microempreendedor Individual
Marcos Parente,2002-04-14,,COMÉRCIO,pequena,Sociedade Simples Limitada
Massapê do Piauí,2017-07-18,2001-04-29,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,Eireli
Matias Olímpio,2019-10-08,2006-09-15,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Eireli
Miguel Alves,2009-02-01,,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,EI – Empresário Individual
Miguel Leão,2012-10-08,2018-07-13,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,MEI – Microempreendedor Individual
Milton Brandão,2013-11-29,2007-01-19,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Sociedade Simples Limitada
Monsenhor Gil,2015-06-25,,INDÚSTRIAS DE TRANSFORMAÇÃO,me,MEI – Microempreendedor Individual
Monsenhor Hipólito,2020-10-20,2020-05-12,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Anônima
Monte Alegre do Piauí,2020-04-18,2015-03-05,COMÉRCIO,me,Eireli
Morro Cabeça no Tempo,2010-08-11,2019-07-13,ALOJAMENTO E ALIMENTAÇÃO,pequena,Eireli
Morro do Chapéu do Piauí,2016-09-07,,EDUCAÇÃO,mei,Sociedade Anônima
Murici dos Portelas,2011-06-13,2024-02-10,COMÉRCIO,media/grande,EI – Empresário Individual
Nazaré do Piauí,2006-09-22,2024-04-17,INFORMAÇÃO E COMUNICAÇÃO,mei,EI – Empresário Individual
Nossa Senhora de Nazaré,2016-09-04,2004-04-28,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,Sociedade Simples Limitada
Nossa Senhora dos Remédios,2004-02-23,,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,EI – Empresário Individual
Nova Santa Rita,2006-11-11,2022-04-26,ELETRICIDADE E GÁS,me,MEI – Microempreendedor Individual
Novo Oriente do Piauí,2022-05-18,2019-11-24,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,EI – Empresário Individual
Novo Santo Antônio,2014-03-18,2010-07-09,ATIVIDADES IMOBILIÁRIAS,media/grande,EI – Empresário Individual
Oeiras,2021-10-10,2011-09-18,ALOJAMENTO E ALIMENTAÇÃO,pequena,EI – Empresário Individual
Olho d'Água do Piauí,2023-07-30,,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,Eireli
Padre Marcos,2000-10-07,2009-03-31,ATIVIDADES IMOBILIÁRIAS,pequena,MEI – Microempreendedor Individual
Paes Landim,2005-01-24,,COMÉRCIO,pequena,MEI – Microempreendedor Individual
Pajeú do Piauí,2021-08-08,2016-10-16,ELETRICIDADE E GÁS,mei,Sociedade Simples Limitada
Palmeira do Piauí,2003-09-22,2001-04-22,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,EI – Empresário Individual
Palmeirais,2013-03-10,2003-02-19,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Sociedade Simples Limitada
Paquetá,2004-08-07,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Eireli
Parnaguá,2005-02-24,2017-10-05,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Sociedade Simples Limitada
Parnaíba,2010-07-02,2023-04-22,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,Eireli
Passagem Franca do Piauí,2019-11-06,2010-04-18,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Sociedade Anônima
Patos do Piauí,2001-09-01,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,Sociedade Anônima
Pau d'Arco do Piauí,2016-01-31,2019-08-12,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Eireli
Paulistana,2020-10-30,2000-06-25,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,MEI – Microempreendedor Individual
Pavussu,2016-08-25,2022-03-21,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,Sociedade Simples Limitada
Pedro II,2005-05-16,2019-09-29,EDUCAÇÃO,pequena,EI – Empresário Individual
Pedro Laurentino,2013-02-11,2022-06-04,ALOJAMENTO E ALIMENTAÇÃO,me,MEI – Microempreendedor Individual
Picos,2023-10-11,2005-04-05,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,Eireli
Pimenteiras,2003-09-27,2009-09-14,ELETRICIDADE E GÁS,mei,Sociedade Simples Limitada
Pio IX,2017-05-04,2017-11-19,COMÉRCIO,media/grande,Sociedade Simples Limitada
Piracuruca,2016-09-18,2023-05-31,INDÚSTRIAS EXTRATIVAS,pequena,MEI – Microempreendedor Individual
Piripiri,2002-05-24,,COMÉRCIO,mei,EI – Empresário Individual
Porto,2014-01-14,2007-03-15,INFORMAÇÃO E COMUNICAÇÃO,me,EI – Empresário Individual
Porto Alegre do Piauí,2013-02-25,,COMÉRCIO,pequena,Sociedade Simples Limitada
Prata do Piauí,2018-04-10,2014-07-25,SERVIÇOS DOMÉSTICOS,me,EI – Empresário Individual
Queimada Nova,2019-03-17,2012-10-17,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Anônima
Redenção do Gurguéia,2018-11-30,,ATIVIDADES IMOBILIÁRIAS,mei,Sociedade Anônima
Regeneração,2006-11-16,2019-02-12,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,EI – Empresário Individual
Riacho Frio,2013-10-02,2021-07-31,SERVIÇOS DOMÉSTICOS,pequena,EI – Empresário Individual
Ribeira do Piauí,2020-05-29,2020-03-06,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,MEI – Microempreendedor Individual
Ribeiro Gonçalves,2008-10-28,2012-11-09,COMÉRCIO,mei,MEI – Microempreendedor Individual
Rio Grande do Piauí,2008-06-24,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,MEI – Microempreendedor Individual
Santa Cruz do Piauí,2012-11-18,2020-01-27,ALOJAMENTO E ALIMENTAÇÃO,mei,Eireli
Santa Cruz dos Milagres,2009-06-26,2003-12-24,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Sociedade Simples Limitada
Santa Filomena,2017-04-25,,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,Sociedade Anônima
Santa Luz,2004-09-29,2020-12-30,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,MEI – Microempreendedor Individual
Santa Rosa do Piauí,2003-09-23,2005-05-18,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,MEI – Microempreendedor Individual
Santana do Piauí,2004-08-06,2003-02-02,CONSTRUÇÃO,pequena,Sociedade Simples Limitada
Santo Antônio de Lisboa,2009-01-07,2010-07-21,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Sociedade Simples Limitada
Santo Antônio dos Milagres,2015-03-20,2005-05-02,EDUCAÇÃO,mei,MEI – Microempreendedor Individual
Santo Inácio do Piauí,2010-08-18,2017-11-15,OUTRAS ATIVIDADES DE SERVIÇOS,mei,MEI – Microempreendedor Individual
São Braz do Piauí,2015-11-29,,EDUCAÇÃO,me,Sociedade Anônima
São Félix do Piauí,2019-02-12,,EDUCAÇÃO,me,MEI – Microempreendedor Individual
São Francisco de Assis do Piauí,2021-05-27,2021-03-06,OUTRAS ATIVIDADES DE SERVIÇOS,mei,EI – Empresário Individual
São Francisco do Piauí,2001-07-07,2011-03-21,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,Sociedade Simples Limitada
São Gonçalo do Gurguéia,2014-02-04,2003-08-19,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Sociedade Anônima
São Gonçalo do Piauí,2024-03-03,2014-10-17,OUTRAS ATIVIDADES DE SERVIÇOS,me,EI – Empresário Individual
São João da Canabrava,2007-03-14,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Eireli
São João da Fronteira,2020-05-02,2015-04-16,ELETRICIDADE E GÁS,media/grande,Sociedade Simples Limitada
São João da Serra,2014-12-31,2024-04-12,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,Sociedade Simples Limitada
São João da Varjota,2022-08-07,2006-03-04,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,Sociedade Simples Limitada
São João do Arraial,2023-08-14,2015-09-10,INFORMAÇÃO E COMUNICAÇÃO,pequena,Sociedade Anônima
São João do Piauí,2005-05-06,2011-07-29,COMÉRCIO,pequena,Eireli
São José do Divino,2016-11-11,,EDUCAÇÃO,pequena,Eireli
São José do Peixe,2020-08-04,2008-12-06,CONSTRUÇÃO,media/grande,Sociedade Simples Limitada
São José do Piauí,2008-05-07,2023-02-09,COMÉRCIO,media/grande,Sociedade Anônima
São Julião,2013-11-27,2004-10-26,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,Sociedade Simples Limitada
São Lourenço do Piauí,2022-03-22,2013-12-28,ATIVIDADES IMOBILIÁRIAS,mei,Sociedade Simples Limitada
São Luis do Piauí,2005-06-30,2010-12-08,INFORMAÇÃO E COMUNICAÇÃO,media/grande,EI – Empresário Individual
São Miguel da Baixa Grande,2012-03-16,2013-04-15,INFORMAÇÃO E COMUNICAÇÃO,media/grande,MEI – Microempreendedor Individual
São Miguel do Fidalgo,2021-11-13,2008-04-14,EDUCAÇÃO,media/grande,Sociedade Simples Limitada
São Miguel do Tapuio,2004-06-01,,CONSTRUÇÃO,media/grande,MEI – Microempreendedor Individual
São Pedro do Piauí,2004-08-31,2012-11-07,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Sociedade Simples Limitada
São Raimundo Nonato,2023-09-06,2003-03-19,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,EI – Empresário Individual
Sebastião Barros,2011-04-27,2009-07-27,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,MEI – Microempreendedor Individual
Sebastião Leal,2023-02-01,2000-09-25,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Eireli
Sigefredo Pacheco,2001-09-27,2000-07-15,INDÚSTRIAS EXTRATIVAS,media/grande,EI – Empresário Individual
Simões,2008-01-10,2004-11-10,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,Eireli
Simplício Mendes,2023-08-16,2021-07-28,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,EI – Empresário Individual
Socorro do Piauí,2014-06-15,,ELETRICIDADE E GÁS,pequena,Eireli
Sussuapara,2018-03-02,2019-04-17,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,Sociedade Simples Limitada
Tamboril do Piauí,2015-01-18,2002-05-07,INFORMAÇÃO E COMUNICAÇÃO,me,Sociedade Simples Limitada
Tanque do Piauí,2005-05-14,2007-05-06,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Sociedade Anônima
Teresina,2022-01-28,2009-02-04,ELETRICIDADE E GÁS,media/grande,Eireli
União,2009-07-08,2004-11-13,ALOJAMENTO E ALIMENTAÇÃO,media/grande,MEI – Microempreendedor Individual
Uruçuí,2014-08-07,2008-08-10,INFORMAÇÃO E COMUNICAÇÃO,media/grande,Sociedade Simples Limitada
Valença do Piauí,2002-03-09,,CONSTRUÇÃO,me,Sociedade Anônima
Várzea Branca,2002-05-04,2022-03-20,SERVIÇOS DOMÉSTICOS,media/grande,Eireli
Várzea Grande,2014-07-21,2024-06-04,SERVIÇOS DOMÉSTICOS,me,Sociedade Simples Limitada
Vera Mendes,2019-03-09,2021-06-01,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,MEI – Microempreendedor Individual
Vila Nova do Piauí,2003-08-15,2022-09-05,INDÚSTRIAS EXTRATIVAS,pequena,Sociedade Simples Limitada
Wall Ferraz.,2012-07-04,,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Sociedade Simples Limitada
Acauã,2020-05-12,,COMÉRCIO,me,EI – Empresário Individual
Agricolândia,2017-06-02,2020-10-16,ALOJAMENTO E ALIMENTAÇÃO,mei,MEI – Microempreendedor Individual
Água Branca,2010-03-19,2008-02-15,CONSTRUÇÃO,media/grande,Sociedade Simples Limitada
Alagoinha do Piauí,2004-01-15,2016-11-27,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Sociedade Anônima
Alegrete do Piauí,2015-07-09,2022-12-15,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Sociedade Simples Limitada
